CruiseTow,CruiseName,Event,GridLine,GridStation,NorthSouthFar,Offshore,VolumeFilteredM3,DensES7,DensES8,DensES9,DensES10,DensES11,DensES12,DensES13,DensES14,DensES15,DensES16,DensES17,DensES18,DensES19,DensES20,DensES21,DensES22,DensES23,DensES24,DensES25,DensES26,DensES27,DensES28,DensES29,DensES30,DensES31,DensES32,DensES33,DensES34,DensES35,DensES36,DensES37,DensES38,DensES39,DensES40,DensES41,DensES42,DensES43,DensES44,DensES45,DensES46,DensES47,DensES48,DensES49,DensES50,DensES51,DensES52,DensES53,DensES54,DensES55,DensES56,DensES57,DensES58,DensES59,DensES60,DensES61,DensES62,DensES63,DensES64,DensES65
10006,PD93-01,18,600,40,North,Coast,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2497,4.2497,4.2497,4.2497,4.2497,8.4994,76.4946,93.4934,84.994,50.9964,25.4982,25.4982,12.7491,12.7491,4.2497,0,8.4994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,PD93-01,27,600,60,North,Shelf,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4908,0,0,9.963,17.4353,27.3983,27.3983,27.3983,34.8706,19.9261,19.9261,12.4538,9.963,7.4723,0,12.4538,9.963,0,2.4908,2.4908,2.4908,0,0,2.4908,0,0,0,0,0,0,0,0,0,0,0,0
10012,PD93-01,33,600,80,North,Shelf,3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2595,0,0.2595,0,0,0.2595,0.2595,0.5191,0,0,0,0,0,0,0,0.2595,0,0,0,0.2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,PD93-01,43,600,100,North,Shelf,4136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2418,0.2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,PD93-01,50,600,120,North,Shelf,3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,PD93-01,59,600,140,North,Shelf,4986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2006,0,0,0,0,0,0.4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,PD93-01,66,600,160,North,Shelf,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2801,0,0,0.2801,0.2801,0.8403,0,0.8403,1.1204,1.9608,1.9608,3.6415,1.9608,3.3613,1.6807,1.9608,0.8403,0.5602,0.5602,1.1204,0.5602,0.2801,0,0.2801,0,0,0,0,0,0,0,0,0,0
10027,PD93-01,74,600,180,North,Slope,4136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9671,0.7253,1.4507,0.4836,0.4836,0.7253,0,1.2089,0.7253,0.2418,0.4836,0.2418,0.2418,0.2418,0,0,0,0.4836,0,0,0,0,0,0
10041,PD93-01,128,500,180,North,Shelf,4419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2284,0,0.2284,0.4568,0.2284,0.9136,1.8273,1.5989,3.1977,1.8273,2.5125,1.8273,2.7409,3.4262,0.9136,0.9136,0.6852,0.6852,0.2284,0,0,0,0,0,0,0,0,0
10046,PD93-01,140,500,140,North,Shelf,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9013,3.8025,5.07,5.7038,4.4363,7.605,9.5063,4.4363,1.2675,3.8025,1.2675,1.2675,0,0,0.6338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
