lat_bins,long_bins,mean_standardised,Area_km2,no_krill,MP_removal_one_month,conc_change_month
"(-90, -86]","(-180, -172]",,13799.562527820435,,,
"(-90, -86]","(-172, -164]",,13799.562527820435,,,
"(-90, -86]","(-164, -156]",,13799.562527820435,,,
"(-90, -86]","(-156, -148]",,13799.562527820435,,,
"(-90, -86]","(-148, -140]",,13799.562527820435,,,
"(-90, -86]","(-140, -132]",,13799.562527820435,,,
"(-90, -86]","(-132, -124]",,13799.562527820435,,,
"(-90, -86]","(-124, -116]",,13799.562527820435,,,
"(-90, -86]","(-116, -108]",,13799.562527820435,,,
"(-90, -86]","(-108, -100]",,13799.562527820435,,,
"(-90, -86]","(-100, -92]",,13799.562527820435,,,
"(-90, -86]","(-92, -84]",,13799.562527820435,,,
"(-90, -86]","(-84, -76]",,13799.562527820435,,,
"(-90, -86]","(-76, -68]",,13799.562527820435,,,
"(-90, -86]","(-68, -60]",,13799.562527820435,,,
"(-90, -86]","(-60, -52]",,13799.562527820435,,,
"(-90, -86]","(-52, -44]",,13799.562527820435,,,
"(-90, -86]","(-44, -36]",,13799.562527820435,,,
"(-90, -86]","(-36, -28]",,13799.562527820435,,,
"(-90, -86]","(-28, -20]",,13799.562527820435,,,
"(-90, -86]","(-20, -12]",,13799.562527820435,,,
"(-90, -86]","(-12, -4]",,13799.562527820435,,,
"(-90, -86]","(-4, 4]",,13799.562527820435,,,
"(-90, -86]","(4, 12]",,13799.562527820435,,,
"(-90, -86]","(12, 20]",,13799.562527820435,,,
"(-90, -86]","(20, 28]",,13799.562527820435,,,
"(-90, -86]","(28, 36]",,13799.562527820435,,,
"(-90, -86]","(36, 44]",,13799.562527820435,,,
"(-90, -86]","(44, 52]",,13799.562527820435,,,
"(-90, -86]","(52, 60]",,13799.562527820435,,,
"(-90, -86]","(60, 68]",,13799.562527820435,,,
"(-90, -86]","(68, 76]",,13799.562527820435,,,
"(-90, -86]","(76, 84]",,13799.562527820435,,,
"(-90, -86]","(84, 92]",,13799.562527820435,,,
"(-90, -86]","(92, 100]",,13799.562527820435,,,
"(-90, -86]","(100, 108]",,13799.562527820435,,,
"(-90, -86]","(108, 116]",,13799.562527820435,,,
"(-90, -86]","(116, 124]",,13799.562527820435,,,
"(-90, -86]","(124, 132]",,13799.562527820435,,,
"(-90, -86]","(132, 140]",,13799.562527820435,,,
"(-90, -86]","(140, 148]",,13799.562527820435,,,
"(-90, -86]","(148, 156]",,13799.562527820435,,,
"(-90, -86]","(156, 164]",,13799.562527820435,,,
"(-90, -86]","(164, 172]",,13799.562527820435,,,
"(-90, -86]","(172, 180]",,13799.562527820435,,,
"(-86, -82]","(-180, -172]",,41331.457501952806,,,
"(-86, -82]","(-172, -164]",,41331.457501952806,,,
"(-86, -82]","(-164, -156]",,41331.457501952806,,,
"(-86, -82]","(-156, -148]",,41331.457501952806,,,
"(-86, -82]","(-148, -140]",,41331.457501952806,,,
"(-86, -82]","(-140, -132]",,41331.457501952806,,,
"(-86, -82]","(-132, -124]",,41331.457501952806,,,
"(-86, -82]","(-124, -116]",,41331.457501952806,,,
"(-86, -82]","(-116, -108]",,41331.457501952806,,,
"(-86, -82]","(-108, -100]",,41331.457501952806,,,
"(-86, -82]","(-100, -92]",,41331.457501952806,,,
"(-86, -82]","(-92, -84]",,41331.457501952806,,,
"(-86, -82]","(-84, -76]",,41331.457501952806,,,
"(-86, -82]","(-76, -68]",,41331.457501952806,,,
"(-86, -82]","(-68, -60]",,41331.457501952806,,,
"(-86, -82]","(-60, -52]",,41331.457501952806,,,
"(-86, -82]","(-52, -44]",,41331.457501952806,,,
"(-86, -82]","(-44, -36]",,41331.457501952806,,,
"(-86, -82]","(-36, -28]",,41331.457501952806,,,
"(-86, -82]","(-28, -20]",,41331.457501952806,,,
"(-86, -82]","(-20, -12]",,41331.457501952806,,,
"(-86, -82]","(-12, -4]",,41331.457501952806,,,
"(-86, -82]","(-4, 4]",,41331.457501952806,,,
"(-86, -82]","(4, 12]",,41331.457501952806,,,
"(-86, -82]","(12, 20]",,41331.457501952806,,,
"(-86, -82]","(20, 28]",,41331.457501952806,,,
"(-86, -82]","(28, 36]",,41331.457501952806,,,
"(-86, -82]","(36, 44]",,41331.457501952806,,,
"(-86, -82]","(44, 52]",,41331.457501952806,,,
"(-86, -82]","(52, 60]",,41331.457501952806,,,
"(-86, -82]","(60, 68]",,41331.457501952806,,,
"(-86, -82]","(68, 76]",,41331.457501952806,,,
"(-86, -82]","(76, 84]",,41331.457501952806,,,
"(-86, -82]","(84, 92]",,41331.457501952806,,,
"(-86, -82]","(92, 100]",,41331.457501952806,,,
"(-86, -82]","(100, 108]",,41331.457501952806,,,
"(-86, -82]","(108, 116]",,41331.457501952806,,,
"(-86, -82]","(116, 124]",,41331.457501952806,,,
"(-86, -82]","(124, 132]",,41331.457501952806,,,
"(-86, -82]","(132, 140]",,41331.457501952806,,,
"(-86, -82]","(140, 148]",,41331.457501952806,,,
"(-86, -82]","(148, 156]",,41331.457501952806,,,
"(-86, -82]","(156, 164]",,41331.457501952806,,,
"(-86, -82]","(164, 172]",,41331.457501952806,,,
"(-86, -82]","(172, 180]",,41331.457501952806,,,
"(-82, -78]","(-180, -172]",,68661.98976975933,,,
"(-82, -78]","(-172, -164]",,68661.98976975933,,,
"(-82, -78]","(-164, -156]",,68661.98976975933,,,
"(-82, -78]","(-156, -148]",,68661.98976975933,,,
"(-82, -78]","(-148, -140]",,68661.98976975933,,,
"(-82, -78]","(-140, -132]",,68661.98976975933,,,
"(-82, -78]","(-132, -124]",,68661.98976975933,,,
"(-82, -78]","(-124, -116]",,68661.98976975933,,,
"(-82, -78]","(-116, -108]",,68661.98976975933,,,
"(-82, -78]","(-108, -100]",,68661.98976975933,,,
"(-82, -78]","(-100, -92]",,68661.98976975933,,,
"(-82, -78]","(-92, -84]",,68661.98976975933,,,
"(-82, -78]","(-84, -76]",,68661.98976975933,,,
"(-82, -78]","(-76, -68]",,68661.98976975933,,,
"(-82, -78]","(-68, -60]",,68661.98976975933,,,
"(-82, -78]","(-60, -52]",,68661.98976975933,,,
"(-82, -78]","(-52, -44]",,68661.98976975933,,,
"(-82, -78]","(-44, -36]",,68661.98976975933,,,
"(-82, -78]","(-36, -28]",,68661.98976975933,,,
"(-82, -78]","(-28, -20]",,68661.98976975933,,,
"(-82, -78]","(-20, -12]",,68661.98976975933,,,
"(-82, -78]","(-12, -4]",,68661.98976975933,,,
"(-82, -78]","(-4, 4]",,68661.98976975933,,,
"(-82, -78]","(4, 12]",,68661.98976975933,,,
"(-82, -78]","(12, 20]",,68661.98976975933,,,
"(-82, -78]","(20, 28]",,68661.98976975933,,,
"(-82, -78]","(28, 36]",,68661.98976975933,,,
"(-82, -78]","(36, 44]",,68661.98976975933,,,
"(-82, -78]","(44, 52]",,68661.98976975933,,,
"(-82, -78]","(52, 60]",,68661.98976975933,,,
"(-82, -78]","(60, 68]",,68661.98976975933,,,
"(-82, -78]","(68, 76]",,68661.98976975933,,,
"(-82, -78]","(76, 84]",,68661.98976975933,,,
"(-82, -78]","(84, 92]",,68661.98976975933,,,
"(-82, -78]","(92, 100]",,68661.98976975933,,,
"(-82, -78]","(100, 108]",,68661.98976975933,,,
"(-82, -78]","(108, 116]",,68661.98976975933,,,
"(-82, -78]","(116, 124]",,68661.98976975933,,,
"(-82, -78]","(124, 132]",,68661.98976975933,,,
"(-82, -78]","(132, 140]",,68661.98976975933,,,
"(-82, -78]","(140, 148]",,68661.98976975933,,,
"(-82, -78]","(148, 156]",,68661.98976975933,,,
"(-82, -78]","(156, 164]",,68661.98976975933,,,
"(-82, -78]","(164, 172]",,68661.98976975933,,,
"(-82, -78]","(172, 180]",,68661.98976975933,,,
"(-78, -74]","(-180, -172]",,95658.00772528657,,,
"(-78, -74]","(-172, -164]",,95658.00772528657,,,
"(-78, -74]","(-164, -156]",,95658.00772528657,,,
"(-78, -74]","(-156, -148]",,95658.00772528657,,,
"(-78, -74]","(-148, -140]",,95658.00772528657,,,
"(-78, -74]","(-140, -132]",,95658.00772528657,,,
"(-78, -74]","(-132, -124]",,95658.00772528657,,,
"(-78, -74]","(-124, -116]",,95658.00772528657,,,
"(-78, -74]","(-116, -108]",,95658.00772528657,,,
"(-78, -74]","(-108, -100]",,95658.00772528657,,,
"(-78, -74]","(-100, -92]",,95658.00772528657,,,
