Time (hours),Mean Surface Concentration,Std Surface Concentration,Mean Surface Concentration (Smooth),Std Surface Concentration (Smooth)
0.0,1900.0,0.0,1900.0,0.0
0.10000500025001251,1900.0,0.0,1900.0,0.0
0.20001000050002501,1899.996,0.06311893535223773,1899.996,0.06311893535223773
0.3000150007500375,1899.986,0.11749042514179653,1899.986,0.11749042514179653
0.40002000100005003,1899.96,0.2059126028197385,1899.96,0.2059126028197385
0.5000250012500626,1899.926,0.2837675104729217,1899.926,0.2837675104729217
0.600030001500075,1899.899,0.3237267366159313,1899.899,0.3237267366159313
0.7000350017500876,1899.866,0.37154272970951446,1899.866,0.37154272970951446
0.8000400020001001,1899.834,0.4128486405451735,1899.834,0.4128486405451735
0.9000450022501125,1899.791,0.46617485989701013,1899.791,0.46617485989701013
1.000050002500125,1899.748,0.5162325057568493,1899.748,0.5162325057568493
1.1000550027501377,1899.696,0.5581970978068571,1899.696,0.5581970978068571
1.20006000300015,1899.648,0.5831775029954398,1899.648,0.5831775029954398
1.3000650032501626,1899.599,0.6117180723176292,1899.599,0.6117180723176292
1.4000700035001752,1899.546,0.6556553972934237,1899.546,0.6556553972934237
1.5000750037501875,1899.501,0.6855647307147573,1899.501,0.6855647307147573
1.6000800040002001,1899.446,0.7149013918016996,1899.446,0.7149013918016996
1.7000850042502127,1899.393,0.7473626964198767,1899.393,0.7473626964198767
1.800090004500225,1899.341,0.7840401775419387,1899.341,0.7840401775419387
1.9000950047502376,1899.292,0.8116255294161158,1899.292,0.8116255294161158
2.00010000500025,1899.238,0.8434192314620218,1899.238,0.8434192314620218
2.1001050052502626,1899.187,0.8775141024507795,1899.187,0.8775141024507795
2.2001100055002754,1899.14,0.8968834929911579,1899.14,0.8968834929911579
2.3001150057502877,1899.097,0.9217326076471458,1899.097,0.9217326076471458
2.4001200060003,1899.056,0.9342719090286352,1899.056,0.9342719090286352
2.500125006250313,1899.004,0.9684957408269708,1899.004,0.9684957408269708
2.600130006500325,1898.947,1.0080629940633528,1898.947,1.0080629940633528
2.7001350067503376,1898.896,1.0242968319779122,1898.896,1.0242968319779122
2.8001400070003504,1898.852,1.0459904397268565,1898.852,1.0459904397268565
2.9001450072503627,1898.804,1.0684493436752163,1898.804,1.0684493436752163
3.000150007500375,1898.754,1.0841973990007445,1898.754,1.0841973990007445
3.100155007750388,1898.696,1.104347771311192,1898.696,1.104347771311192
3.2001600080004002,1898.654,1.1082797480780746,1898.654,1.1082797480780746
