MP ID,Time (hours),Depth (m)
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.10801080108011,192.39340803189762
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.18001800180018,192.33985231920636
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.25202520252025,192.2862966065151
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.324032403240324,192.23274089382383
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.396039603960396,192.17918518113254
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.46804680468047,192.12562946844128
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.54005400540054,192.07207375575
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.612061206120615,192.01851804305875
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.68406840684069,191.96496233036746
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.75607560756076,191.9114066176762
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.82808280828083,191.85785090498493
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.9000900090009,191.80429519229367
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",40.97209720972097,191.7507394796024
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.044104410441044,191.69718376691114
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.11611161116112,191.64362805421985
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.18811881188119,191.59007234152858
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.26012601260126,191.53651662883732
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.332133213321335,191.48296091614606
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.40414041404141,191.4294052034548
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.47614761476148,191.3758494907635
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.54815481548155,191.32229377807224
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.62016201620162,191.26873806538097
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.69216921692169,191.2151823526897
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.764176417641764,191.16162663999845
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.83618361836184,191.10807092730715
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.90819081908191,191.0545152146159
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",41.98019801980198,191.00095950192463
"(40.10801080108011, 192.39340803189762, 0.00017999999999999998)",42.052205220522055,190.94740378923336
